# GENERATED by `cargo xtask db-gen` - do not edit by hand.
# source: ch32-device-data@72c98d4 (evidence/debug_wiring.csv)
# columns: series,wire,swdio,swclk
CH32H415,1-or-2-wire,PB9,PB8
CH32H416,1-or-2-wire,PB9,PB8
CH32H417,1-or-2-wire,PB9,PB8
CH32L103,2-wire,PA13,PA14
CH32M007,1-or-2-wire,PD1,PB3
CH32M030,1-or-2-wire,PA3,PA2
CH32V002,1-or-2-wire,PD1,PB3
CH32V003,1-wire,PD1,-
CH32V004,1-or-2-wire,PD1,PB3
CH32V005,1-or-2-wire,PD1,PB3
CH32V006,1-or-2-wire,PD1,PB3
CH32V007,1-or-2-wire,PD1,PB3
CH32V103,2-wire,PA13,PA14
CH32V203,2-wire,PA13,PA14
CH32V205,1-or-2-wire,PA13,PA14
CH32V208,2-wire,PA13,PA14
CH32V303,2-wire,PA13,PA14
CH32V305,2-wire,PA13,PA14
CH32V307,2-wire,PA13,PA14
CH32V317,2-wire,PA13,PA14
CH32V407,1-or-2-wire,PA13,PA14
CH32V467,1-or-2-wire,PA13,PA14
CH32X033,2-wire,PC18,PC19
CH32X035,2-wire,PC18,PC19
CH32X305,1-or-2-wire,PA13,PA14
CH32X315,1-or-2-wire,PA13,PA14
