# GENERATED by `cargo xtask db-gen` - do not edit by hand.
# source: ch32-device-data@c429c10 (evidence/flash_geometry.csv)
# columns: family,page_erase,fast_erase,fast_program,block_erase,erased_word (0 = not applicable; erased_word empty = unknown)
CH32H417,4096,0,256,32768,0xe339e339
CH32L103,2048,256,256,32768,0xffffffff
CH32M030,1024,128,128,0,0xffffffff
CH32V003,1024,64,64,0,0xffffffff
CH32V006,1024,256,256,32768,0xffffffff
CH32V103,1024,128,128,0,0xffffffff
CH32V205,2048,256,256,65536,0xffffffff
CH32V20x,4096,256,256,32768,0xe339e339
CH32V307,4096,256,256,32768,0xe339e339
CH32V407,4096,0,256,32768,0xe339e339
CH32X035,1024,256,256,32768,0xffffffff
CH32X315,4096,0,256,32768,0xe339e339
