# GENERATED by `cargo xtask db-gen` - do not edit by hand.
# source: ch32-device-data@fc8a3e6 (evidence/flash_program_method.csv)
# columns: family,mode,commit,buffer_load_bits,confidence
#   mode: buffered (FTPG + BUFRST/BUFLOAD, then STRT) | direct (FTPG, then PG_STRT)
#   buffer_load_bits: width of one FLASH_BufLoad; a word-at-a-time DMI writer needs 32.
CH32H417,direct,PG_STRT,,conflict
CH32L103,buffered,STRT,32,confirmed
CH32M030,buffered,STRT,64,confirmed
CH32V003,buffered,STRT,32,confirmed
CH32V006,buffered,STRT,32,confirmed
CH32V103,buffered,STRT,128,confirmed
CH32V205,buffered,STRT,32,confirmed
CH32V20x,direct,PG_STRT,,confirmed
CH32V307,direct,PG_STRT,,confirmed
CH32V407,direct,PG_STRT,,confirmed
CH32X035,buffered,STRT,32,confirmed
CH32X315,direct,PG_STRT,,confirmed
