# GENERATED by `cargo xtask db-gen` - do not edit by hand.
# source: ch32-device-data@c429c10 (evidence/option_bytes.csv, offset 0x00 row)
# columns: family,base,write_method
#   write_method: obpg (half-word, FLASH_CTLR.OPTPG) | ftpg (fast page, 32-bit buffer writes)
CH32H417,0x1ffff800,obpg
CH32L103,0x1ffff800,ftpg
CH32M030,0x1ffff300,ftpg
CH32V003,0x1ffff800,obpg
CH32V006,0x1ffff800,ftpg
CH32V103,0x1ffff800,obpg
CH32V205,0x1ffff800,ftpg
CH32V20x,0x1ffff800,obpg
CH32V307,0x1ffff800,obpg
CH32V407,0x1ffff800,obpg
CH32X035,0x1ffff800,ftpg
CH32X315,0x1ffff800,obpg
