# GENERATED by `cargo xtask db-gen` - do not edit by hand.
# source: ch32-device-data@b54a45c (evidence/option_byte_fields.csv, byte=USER)
# columns: family,bit,field,default
CH32H417,7,USARTDLEN,1
CH32H417,6,USBFSDLEN,1
CH32H417,0,IWDGSW,1
CH32L103,5,CFGCANM,1
CH32L103,2,STANDYRST,1
CH32L103,1,STOPRST,1
CH32L103,0,IWDGSW,1
CH32M030,7,OV_CFG,1
CH32M030,5,RST_PIN_SEL,1
CH32M030,2,STANDYRST,1
CH32M030,1,STOPRST,1
CH32V003,5,START_MODE,1
CH32V003,2,STANDYRST,1
CH32V003,0,IWDGSW,1
CH32V006,5,START_MODE,1
CH32V006,2,STANDYRST,1
CH32V006,0,IWDG_SW,1
CH32V103,5,PORCTR,1
CH32V103,2,STANDYRST,1
CH32V103,1,STOPRST,1
CH32V103,0,IWDGSW,1
CH32V205,5,CFGCANM,1
CH32V205,2,STANDYRST,1
CH32V205,1,STOPRST,1
CH32V205,0,IWDG_SW,1
CH32V20x,2,STANDYRST,1
CH32V20x,1,STOPRST,1
CH32V20x,0,IWDGSW,1
CH32V307,2,STANDYRST,1
CH32V307,1,STOPRST,1
CH32V307,0,IWDGSW,1
CH32V407,6,RAM_CODE_MOD,0
CH32V407,2,STANDYRST,1
CH32V407,1,STOPRST,1
CH32V407,0,IWDGSW,1
CH32X035,2,STANDYRST,1
CH32X035,1,STOPRST,1
CH32X035,0,IWDGSW,1
CH32X315,7,USARTDLEN,1
CH32X315,6,USBFSDLEN,1
CH32X315,4,START_MD,1
CH32X315,3,CFGRSTEN,1
CH32X315,0,IWDGSW,1
