# GENERATED by `cargo xtask db-gen` - do not edit by hand.
# source: ch32-device-data@b54a45c (evidence/device_ids.csv + index/parts.csv)
# verified = this project confirmed the device_id on real silicon (docs/data-requests/measured/)
# columns: sku,family,series,device_id,id_addr,flash_bytes,sram_bytes,verified
CH32H415REU6,CH32H417,CH32H415,0x4150050d,0x1ffff704,983040,917504,false
CH32H416RDU6,CH32H417,CH32H416,0x4160050d,0x1ffff704,491520,917504,false
CH32H417MEU6,CH32H417,CH32H417,0x4171050d,0x1ffff704,983040,917504,false
CH32H417QEU6,CH32H417,CH32H417,0x4170050d,0x1ffff704,983040,917504,false
CH32H417WEU6,CH32H417,CH32H417,0x4172050d,0x1ffff704,983040,917504,false
CH32L103C8T6,CH32L103,CH32L103,0x10310700,0x1ffff704,65536,20480,true
CH32L103F8P6,CH32L103,CH32L103,0x103a0700,0x1ffff704,65536,20480,false
CH32L103F8U6,CH32L103,CH32L103,0x103d0700,0x1ffff704,65536,20480,false
CH32L103G8R6,CH32L103,CH32L103,0x103b0700,0x1ffff704,65536,20480,false
CH32L103K8U6,CH32L103,CH32L103,0x10320700,0x1ffff704,65536,20480,false
CH32M007E8R6,CH32V006,CH32M007,0x00730800,0x1ffff704,63488,8192,false
CH32M007G8R6,CH32V006,CH32M007,0x00700800,0x1ffff704,63488,8192,false
CH32V002A4M6,CH32V006,CH32V002,0x00220600,0x1ffff704,16384,4096,false
CH32V002D4U6,CH32V006,CH32V002,0x00230600,0x1ffff704,16384,4096,false
CH32V002F4P6,CH32V006,CH32V002,0x00200600,0x1ffff704,16384,4096,false
CH32V002F4U6,CH32V006,CH32V002,0x00210600,0x1ffff704,16384,4096,false
CH32V002J4M6,CH32V006,CH32V002,0x00240600,0x1ffff704,16384,4096,false
CH32V003A4M6,CH32V003,CH32V003,0x00320500,0x1ffff7c4,16384,2048,false
CH32V003F4P6,CH32V003,CH32V003,0x00300500,0x1ffff7c4,16384,2048,true
CH32V003F4U6,CH32V003,CH32V003,0x00310500,0x1ffff7c4,16384,2048,false
CH32V003J4M6,CH32V003,CH32V003,0x00330500,0x1ffff7c4,16384,2048,false
CH32V004F6P1,CH32V006,CH32V004,0x00400600,0x1ffff704,32768,6144,false
CH32V004F6U1,CH32V006,CH32V004,0x00410600,0x1ffff704,32768,6144,false
CH32V005D6U6,CH32V006,CH32V005,0x00530600,0x1ffff704,32768,6144,false
CH32V005E6R6,CH32V006,CH32V005,0x00500600,0x1ffff704,32768,6144,false
CH32V005F6P6,CH32V006,CH32V005,0x00520600,0x1ffff704,32768,6144,false
CH32V005F6U6,CH32V006,CH32V005,0x00510600,0x1ffff704,32768,6144,false
CH32V006E8R6,CH32V006,CH32V006,0x00610600,0x1ffff704,63488,8192,false
CH32V007E8R6,CH32V006,CH32V007,0x00710600,0x1ffff704,63488,8192,false
CH32V007K8U6,CH32V006,CH32V007,0x00720600,0x1ffff704,63488,8192,false
CH32V103C8T6,CH32V103,CH32V103,0x25004102,0x1ffff884,65536,20480,false
CH32V103R8T6,CH32V103,CH32V103,0x2500410f,0x1ffff884,65536,20480,true
CH32V203C6T6,CH32V20x,CH32V203,0x20330500,0x1ffff704,32768,10240,false
CH32V203C8T6,CH32V20x,CH32V203,0x20310500,0x1ffff704,65536,20480,true
CH32V203C8U6,CH32V20x,CH32V203,0x20300500,0x1ffff704,65536,20480,false
CH32V203F6P6,CH32V20x,CH32V203,0x20370500,0x1ffff704,32768,10240,false
CH32V203F8P6,CH32V20x,CH32V203,0x203a0500,0x1ffff704,65536,20480,false
CH32V203F8U6,CH32V20x,CH32V203,0x203d0500,0x1ffff704,65536,20480,false
CH32V203G6U6,CH32V20x,CH32V203,0x20360500,0x1ffff704,32768,10240,false
CH32V203G8R6,CH32V20x,CH32V203,0x203b0500,0x1ffff704,65536,20480,false
